order,freq,single.sided.magnitude
1,0.0,22992.0
2,0.625,6479.301839781666
3,1.25,7317.790332514453
4,1.875,3629.42359258189
5,2.5,2498.024852298703
6,3.125,1678.327322051937
7,3.75,1106.1819109798078
8,4.375,621.0279324800092
9,5.0,921.9135590300996
10,5.625,846.8547446911457
11,6.25,109.13868448981563
12,6.875,556.3899063973064
13,7.5,532.6781520287578
14,8.125,214.62968448061451
15,8.75,623.9694854017703
16,9.375,783.3822461970225
17,10.0,476.80604023019674
18,10.625,262.76878993650166
19,11.25,669.914268599905
20,11.875,889.7755772778796
21,12.5,744.6455114405384
22,13.125,805.5150117128253
23,13.75,976.9787470591269
24,14.375,863.8230947911717
25,15.0,552.1552224478685
26,15.625,120.11814512071746
27,16.25,139.5827212737161
28,16.875,245.2734187520391
29,17.5,348.29425194902393
30,18.125,541.1510800460472
31,18.75,565.9091114809988
32,19.375,502.03060846833927
33,20.0,400.0
34,20.625,502.0306084683395
35,21.25,565.9091114809988
36,21.875,541.1510800460468
37,22.5,348.29425194902393
38,23.125,245.27341875203933
39,23.75,139.5827212737158
40,24.375,120.11814512071776
41,25.0,552.1552224478685
42,25.625,863.8230947911716
43,26.25,976.978747059127
44,26.875,805.5150117128251
45,27.5,744.6455114405384
46,28.125,889.7755772778797
47,28.75,669.9142685999051
48,29.375,262.76878993650234
49,30.0,476.80604023019674
50,30.625,783.3822461970218
51,31.25,623.9694854017705
52,31.875,214.62968448061497
53,32.5,532.6781520287578
54,33.125,556.3899063973068
55,33.75,109.13868448981586
56,34.375,846.8547446911457
57,35.0,921.9135590300996
58,35.625,621.027932480009
59,36.25,1106.1819109798078
60,36.875,1678.3273220519372
61,37.5,2498.024852298703
62,38.125,3629.4235925818894
63,38.75,7317.790332514453
