order,freq,single.sided.magnitude
1,0.0,24010.0
2,0.5555555555555556,1716.3786924576204
3,1.1111111111111112,3708.671146963048
4,1.6666666666666665,2379.9608068770835
5,2.2222222222222223,2299.2465899510826
6,2.7777777777777777,1800.463339897572
7,3.333333333333333,1379.0848594865313
8,3.888888888888889,1290.8175384048045
9,4.444444444444445,994.7010047541748
10,5.0,953.5118064352506
11,5.555555555555555,901.7149283412498
12,6.111111111111111,925.368620226929
13,6.666666666666666,941.7536832951596
14,7.222222222222222,982.524729744888
15,7.777777777777778,1021.4459065630734
16,8.333333333333334,947.3007649803214
17,8.88888888888889,953.0976699744522
18,9.444444444444445,882.8436404871726
19,10.0,818.273792810206
20,10.555555555555555,778.5339846692017
21,11.11111111111111,740.0383007708477
22,11.666666666666666,713.9479666088655
23,12.222222222222221,668.0069511344259
24,12.777777777777777,685.6074636111354
25,13.333333333333332,666.5523235275682
26,13.88888888888889,655.995494564327
27,14.444444444444445,640.0524133063542
28,15.0,601.0318086329416
29,15.555555555555555,596.1916067763057
30,16.11111111111111,564.7518064537859
31,16.666666666666668,529.2909883372424
32,17.22222222222222,506.6280112274794
33,17.77777777777778,489.5658715947272
34,18.333333333333332,464.97969780598396
35,18.88888888888889,487.25393083346364
36,19.444444444444443,479.19496440727363
37,20.0,465.9999999999998
38,20.555555555555554,479.1949644072735
39,21.11111111111111,487.2539308334635
40,21.666666666666668,464.9796978059837
41,22.22222222222222,489.5658715947272
42,22.77777777777778,506.62801122747953
43,23.333333333333332,529.2909883372424
44,23.88888888888889,564.7518064537857
45,24.444444444444443,596.1916067763058
46,25.0,601.0318086329415
47,25.555555555555554,640.0524133063539
48,26.11111111111111,655.9954945643268
49,26.666666666666664,666.5523235275682
50,27.22222222222222,685.6074636111352
51,27.77777777777778,668.0069511344266
52,28.333333333333332,713.9479666088656
53,28.88888888888889,740.038300770848
54,29.444444444444443,778.5339846692016
55,30.0,818.2737928102061
56,30.555555555555554,882.8436404871727
57,31.11111111111111,953.0976699744522
58,31.666666666666664,947.3007649803214
59,32.22222222222222,1021.4459065630737
60,32.77777777777778,982.524729744888
61,33.333333333333336,941.7536832951598
62,33.888888888888886,925.368620226929
63,34.44444444444444,901.7149283412497
64,35.0,953.5118064352506
65,35.55555555555556,994.7010047541748
66,36.11111111111111,1290.8175384048047
67,36.666666666666664,1379.084859486531
68,37.22222222222222,1800.4633398975714
69,37.77777777777778,2299.2465899510826
70,38.333333333333336,2379.960806877083
71,38.888888888888886,3708.6711469630477
