order,freq,single.sided.magnitude
1,0.0,22992.0
2,0.5555555555555556,8379.822197373476
3,1.1111111111111112,5115.615931382456
4,1.6666666666666665,3044.9499958906945
5,2.2222222222222223,2521.9043278587446
6,2.7777777777777777,2285.6050074879377
7,3.333333333333333,2153.9269784061003
8,3.888888888888889,2097.4742940448978
9,4.444444444444445,2044.8265416502404
10,5.0,1348.6091768419813
11,5.555555555555555,1423.7460291965415
12,6.111111111111111,821.2862418698583
13,6.666666666666666,374.0160424366847
14,7.222222222222222,445.95460268026875
15,7.777777777777778,1041.7073777959345
16,8.333333333333334,1436.8316769634723
17,8.88888888888889,1158.0197914363573
18,9.444444444444445,1061.221857450733
19,10.0,1168.8010951398019
20,10.555555555555555,1065.4052361224165
21,11.11111111111111,658.9292701123552
22,11.666666666666666,428.13763046776467
23,12.222222222222221,558.1874080676215
24,12.777777777777777,609.4162583840794
25,13.333333333333332,517.5789794804268
26,13.88888888888889,653.1801031217535
27,14.444444444444445,711.7310476791279
28,15.0,558.7604926420577
29,15.555555555555555,443.33145401215467
30,16.11111111111111,511.84761348866846
31,16.666666666666668,301.9512737088002
32,17.22222222222222,49.775276248453636
33,17.77777777777778,104.22368830746923
34,18.333333333333332,312.71140685469607
35,18.88888888888889,124.21094646977022
36,19.444444444444443,123.6549582197898
37,20.0,32.000000000000114
38,20.555555555555554,123.65495821978988
39,21.11111111111111,124.21094646977024
40,21.666666666666668,312.71140685469595
41,22.22222222222222,104.22368830746929
42,22.77777777777778,49.77527624845299
43,23.333333333333332,301.95127370880016
44,23.88888888888889,511.8476134886687
45,24.444444444444443,443.3314540121549
46,25.0,558.7604926420574
47,25.555555555555554,711.7310476791281
48,26.11111111111111,653.1801031217533
49,26.666666666666664,517.5789794804268
50,27.22222222222222,609.4162583840792
51,27.77777777777778,558.1874080676213
52,28.333333333333332,428.13763046776506
53,28.88888888888889,658.9292701123552
54,29.444444444444443,1065.4052361224165
55,30.0,1168.8010951398019
56,30.555555555555554,1061.2218574507333
57,31.11111111111111,1158.0197914363573
58,31.666666666666664,1436.8316769634725
59,32.22222222222222,1041.7073777959342
60,32.77777777777778,445.9546026802689
61,33.333333333333336,374.0160424366847
62,33.888888888888886,821.2862418698583
63,34.44444444444444,1423.7460291965417
64,35.0,1348.609176841981
65,35.55555555555556,2044.8265416502404
66,36.11111111111111,2097.4742940448978
67,36.666666666666664,2153.9269784061003
68,37.22222222222222,2285.6050074879377
69,37.77777777777778,2521.904327858744
70,38.333333333333336,3044.9499958906936
71,38.888888888888886,5115.615931382456
