bin_order,heart-1_cropped10_intersections_LCPC-data_fft-output_AllBins.csv,heart-2_cropped10_intersections_LCPC-data_fft-output_AllBins.csv,heart-3_cropped10_intersections_LCPC-data_fft-output_AllBins.csv
1,33848.0,33848.0,33878.0
2,2027.59148302836,1972.287903582808,2012.964320623124
3,2882.964415117812,2895.9416970881043,2879.018773768846
4,3633.2683485302055,3630.815895106517,3652.578111824321
5,1015.566878742698,998.6214893172788,1030.4818019992097
6,647.9593717583515,636.3415938030065,665.8405681036152
7,161.1508499731719,152.0193709993139,163.59556591172512
8,428.41672019019273,426.51303609801704,429.57313531564085
9,176.43706875782377,176.1552506215908,183.27256966985567
10,266.33573125586656,263.7449710766098,266.5638404798673
11,76.33139831674029,79.48244577534477,72.25177639418747
12,159.3426167835308,161.5558658866659,165.80659625740765
13,48.49742261192859,52.115256883181615,52.11525688318156
14,118.16879346999596,123.59272431266588,108.55799791211022
15,40.18304194150641,39.59989429909418,30.432129378844255
16,87.28660895151674,84.67073662221344,72.33218756790602
17,17.08544364987252,23.760905340985,15.52202885527097
18,65.44772250178809,67.42292627149475,61.49318803482516
19,15.231546211727776,18.97366596101009,22.360679774997777
20,58.09205524871955,62.53886687524944,69.22087631482184
21,16.860621961543806,10.281769018796968,12.362860234526575
22,50.53714926743112,53.211855651461754,50.66221986526646
23,28.738930545110836,17.534482504506194,14.90373048409633
24,54.09371203305852,44.056021103154336,54.297439668586776
25,10.583005244258365,10.0,12.16552506059644
26,39.71667979247942,38.05820379893456,30.675823704650504
27,7.397128336076889,9.8021079986491,10.0696792469274
28,25.792988512439365,40.281388156297155,37.838062167927
29,9.361315499662,8.798084995266723,5.139594855921955
30,30.28068469419641,31.3567312613393,31.295168446312314
31,5.513941686692685,11.050377413144409,15.115912609644226
32,22.988504379685683,29.116942009341084,35.90997799569673
33,2.459346139525153,9.836008124299656,11.411916001444784
34,30.26800307682384,33.575297762480886,24.546509768986866
35,7.640569301519328,9.825316973052574,9.64090106809145
36,21.344420609810086,29.523049875495,36.58090776540193
37,11.999999999999991,3.999999999999997,2.000000000000025
38,21.344420609810015,29.523049875494937,36.58090776540174
39,7.64056930151929,9.825316973052466,9.640901068091416
40,30.26800307682375,33.57529776248059,24.54650976898663
41,2.4593461395251426,9.83600812429965,11.411916001444771
42,22.988504379685537,29.11694200934115,35.909977995696735
43,5.51394168669276,11.050377413144512,15.115912609644273
44,30.280684694196413,31.356731261339633,31.295168446312648
45,9.361315499662055,8.798084995266802,5.139594855922006
46,25.79298851243949,40.28138815629691,37.83806216792653
47,7.3971283360770865,9.802107998649175,10.069679246927423
48,39.71667979247978,38.058203798934976,30.67582370465082
49,10.583005244258365,10.0,12.16552506059644
50,54.09371203305876,44.0560211031543,54.297439668586755
51,28.7389305451106,17.53448250450603,14.903730484096458
52,50.53714926743099,53.21185565146168,50.66221986526626
53,16.860621961543647,10.28176901879684,12.362860234526462
54,58.09205524871949,62.538866875249525,69.22087631482201
55,15.231546211727768,18.973665961010266,22.360679774997884
56,65.44772250178801,67.42292627149476,61.493188034825224
57,17.08544364987252,23.760905340984987,15.52202885527097
58,87.28660895151665,84.6707366222133,72.33218756790602
59,40.183041941506474,39.59989429909404,30.43212937884411
60,118.16879346999596,123.59272431266564,108.55799791210976
61,48.497422611928535,52.11525688318154,52.11525688318153
62,159.34261678353064,161.55586588666594,165.80659625740768
63,76.3313983167402,79.48244577534466,72.25177639418735
64,266.3357312558664,263.74497107660954,266.56384047986705
65,176.43706875782377,176.1552506215908,183.2725696698557
66,428.4167201901926,426.5130360980168,429.5731353156406
67,161.15084997317183,152.0193709993139,163.59556591172512
68,647.9593717583516,636.3415938030064,665.8405681036152
69,1015.5668787426976,998.6214893172788,1030.4818019992097
70,3633.268348530205,3630.8158951065175,3652.5781118243217
71,2882.964415117812,2895.9416970881043,2879.0187737688457
