order,freq,single.sided.magnitude
1,0.0,33848.0
2,0.5555555555555556,2027.59148302836
3,1.1111111111111112,2882.964415117812
4,1.6666666666666665,3633.2683485302055
5,2.2222222222222223,1015.5668787426979
6,2.7777777777777777,647.9593717583515
7,3.333333333333333,161.1508499731719
8,3.888888888888889,428.41672019019273
9,4.444444444444445,176.43706875782377
10,5.0,266.33573125586656
11,5.555555555555555,76.33139831674029
12,6.111111111111111,159.34261678353081
13,6.666666666666666,48.49742261192859
14,7.222222222222222,118.16879346999596
15,7.777777777777778,40.18304194150641
16,8.333333333333334,87.28660895151674
17,8.88888888888889,17.08544364987252
18,9.444444444444445,65.44772250178809
19,10.0,15.231546211727776
20,10.555555555555555,58.09205524871955
21,11.11111111111111,16.860621961543806
22,11.666666666666666,50.53714926743112
23,12.222222222222221,28.738930545110836
24,12.777777777777777,54.09371203305852
25,13.333333333333332,10.583005244258363
26,13.88888888888889,39.71667979247942
27,14.444444444444445,7.397128336076889
28,15.0,25.792988512439365
29,15.555555555555555,9.361315499662
30,16.11111111111111,30.280684694196406
31,16.666666666666668,5.513941686692685
32,17.22222222222222,22.988504379685683
33,17.77777777777778,2.459346139525153
34,18.333333333333332,30.26800307682384
35,18.88888888888889,7.640569301519328
36,19.444444444444443,21.344420609810086
37,20.0,11.999999999999993
38,20.555555555555554,21.344420609810015
39,21.11111111111111,7.64056930151929
40,21.666666666666668,30.26800307682375
41,22.22222222222222,2.4593461395251426
42,22.77777777777778,22.988504379685534
43,23.333333333333332,5.51394168669276
44,23.88888888888889,30.280684694196413
45,24.444444444444443,9.361315499662055
46,25.0,25.792988512439486
47,25.555555555555554,7.3971283360770865
48,26.11111111111111,39.71667979247978
49,26.666666666666664,10.583005244258363
50,27.22222222222222,54.09371203305876
51,27.77777777777778,28.7389305451106
52,28.333333333333332,50.53714926743099
53,28.88888888888889,16.860621961543647
54,29.444444444444443,58.09205524871949
55,30.0,15.231546211727768
56,30.555555555555554,65.44772250178801
57,31.11111111111111,17.08544364987252
58,31.666666666666664,87.28660895151665
59,32.22222222222222,40.183041941506474
60,32.77777777777778,118.16879346999595
61,33.333333333333336,48.497422611928535
62,33.888888888888886,159.34261678353064
63,34.44444444444444,76.3313983167402
64,35.0,266.3357312558664
65,35.55555555555556,176.43706875782377
66,36.11111111111111,428.4167201901926
67,36.666666666666664,161.15084997317183
68,37.22222222222222,647.9593717583516
69,37.77777777777778,1015.5668787426977
70,38.333333333333336,3633.268348530205
71,38.888888888888886,2882.964415117812
